1024,N1,氏,성씨 씨,"성씨, 집안, ~씨",シ,うじ,https://nihongokanji.com/1036
1025,N1,統,거느릴 통,"거느리다, 통괄하다, 계통",トウ,す(べる),https://nihongokanji.com/1037
1026,N1,派,갈래 파,"갈래, 파벌, 갈라지다",ハ,-,https://nihongokanji.com/1038
1027,N1,策,꾀 책,"계책, 책략",サク,-,https://nihongokanji.com/1039
1028,N1,提,끌 제,"제시하다, 들다",テイ,さ(げる),https://nihongokanji.com/1040
1029,N1,挙,들 거,"들어올리다, 행동하다",キョ,あ(げる)、あ(がる),https://nihongokanji.com/1041
1030,N1,企,꾀할 기,"도모하다, 계획하다",キ,くわだ(てる),https://nihongokanji.com/1042
1031,N1,藤,등나무 등,등나무,トウ,ふじ,https://nihongokanji.com/1043
1032,N1,沢,못 택,"못, 윤기, 윤택하다",タク,さわ,https://nihongokanji.com/1044
1033,N1,裁,옷 마를 재,"재단하다, 판가름하다",サイ,た(つ)、さば(く),https://nihongokanji.com/1045
